Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,Total Current Assets,Total Current Liabilities,Cash and Equivalent,Operating Cash Flow,Total Assets,Total Liabilities,Total Equity,Net Income,Dividend Per Share
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","777400.30146555","2072.05","24.02655380333952","90237","27060","35806","32369","120120","35371","84749","32340","73"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","496154.48236913997","2106.5","67.42957746478874","12321","9317","6366","7623","20153","11907","8246","6748","25"
Infosys Ltd,INFY,"IT Services & Consulting","305703.00755254005","717.6","18.352941176470587","54576","20856","23304","17003","91800","25956","65844","16594","17.5"
ITC Ltd,ITC,"FMCG - Tobacco","242955.950478365","198.5","19.328140214216166","31747.27","10011.990000000002","17499.53","12583.41","71739.04","12254.699999999986","59484.340000000004","12592.329999999993","5.75"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","162327.42777192","16552.55","81.02997943062128","3817.1699999999996","2147.5099999999998","2315.5","2233.67","7058.2","5125.939999999999","1932.26","1969.5499999999984","342"
Asian Paints Ltd,ASIANPAINT,"Paints","156756.89883075","1642.05","72.94757885384273","7634.05","5028.87","1619.4099999999999","2214.27","15633.29","5750.55","9882.74","2159.489999999996","10.5"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","114417.63937856999","90","3.712871287128713","90891.18","129846.91","10187.19","61248.46","494786.36000000004","258539.39000000007","236246.96999999997","30494.950000000026","7"
NTPC Ltd,NTPC,"Power Generation","97510.86199440001","98","7.674236491777604","45751.259999999995","59982.36000000001","2782.32","16367.13","317649","206947.18000000002","110701.81999999999","12640.020000000004","6.08"
Coal India Ltd,COALINDIA,"Mining - Coal","90407.22455709","144.3","5.093540416519591","69319.66","45812.18","32874.19","16695.46","132718.83000000002","105858.13","26860.699999999997","17461.850000000006","13.1"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","90166.44758328001","170.55","8.892075078206465","17684.6","32637.639999999996","4336.65","23380.67","247380.30000000002","188291.91000000003","59088.39","10033.520000000006","8.33"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","87645.81956382","90.65","4.788695192815637","129754.32","160924.56999999998","9481.58","14133.04","335360.8","221014.19999999998","114346.59999999999","17376.699999999983","9.25"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","75827.3116894","1467.3","80.57660626029653","3582","1300.7099999999998","1341.8300000000002","844.78","5903.790000000001","1548.5500000000015","4355.24","924.9099999999992","6.5"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","69750.03795513","346.05","18.685205183585314","14819.91","7696.47","7325.75","7401.81","61916.70000000001","35976.53000000001","25940.17","3763.1299999999974","3.2"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","56114.11089781499","478.75","9.79840360212853","69406.04000000001","58743.33","14842.130000000001","-4347.29","161888.66","113544.68000000002","48343.979999999996","5315.459999999992","8.5"
Berger Paints India Ltd,BERGEPAINT,"Paints","48512.428010999996","490.45","95.60428849902534","2583.6","1533.03","489.28","561.67","4361.95","1885.8","2476.15","497.8599999999987","1.9"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","47623.85751224","2387.3","13.845841549704213","8413.21","4409.18","3477.78","1032.27","18504.36","5267.84","13236.52","3444.0899999999956","87"
GAIL (India) Ltd,GAIL,"Gas Distribution","47243.73604635","101.1","6.965208405098173","11067.6","10678.989999999998","1425.1","7984.21","68426.37000000001","22376.320000000014","46050.05","6545.7400000000125","3.57"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","46132.187051405","17026.85","21.087188061180257","4410.2699999999995","2098.1000000000004","3434.1","1572.96","11386.83","2468.1100000000006","8918.72","2202.729999999998","125"
Grasim Industries Ltd,GRASIM,"Cement","40512.618150045004","611.9","22.713437268002966","48711.81","46118.86","13751.31","-2454.82","229155.72","145926.15999999997","83229.56","1771.9200000000064","7"
Siemens Ltd,SIEMENS,"Conglomerates","40275.420239225","1122.75","36.35848445595855","12567.6","5997.1","5001.9","1291.7","15358.3","6308.900000000001","9049.4","1099.4","7"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","38655.00226776","257.75","17.333557498318765","5961.799999999999","2484.36","3785.17","2141.42","15249.34","5018.76","10230.58","2230.5600000000027","10"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","38105.545901975","111.45","-1.3130242843679194","123431.16","145457.43","42178.65","18890.75","305703.49000000005","245000.87000000005","60702.619999999995","-28826.22999999996","0"
Ambuja Cements Ltd,AMBUJACEM,"Cement","38015.177909205","187.8","17.80094786729858","14342.589999999998","9129.94","9354.55","4738.7","40237.81","10423.060000000001","29814.75","2094.9999999999973","1.5"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","37896.859717939995","332.2","3.722128851540616","58990.98","61034.130000000005","5866.23","25335.95","232773.44","161470.59","71302.85","10218.329999999996","13"
Cadila Healthcare Ltd,CADILAHC,"Pharmaceuticals","36158.588632","360.2","19.955678670360108","8498.1","7342.5","879.1999999999999","2882.3","23230.800000000003","11551.600000000004","11679.199999999999","1848.799999999999","3.5"
Vodafone Idea Ltd,IDEA,"Telecom Services","34482.467088","10.05","-0.6011569594865068","18199.699999999997","54151.7","7699.6","5268.1","229652.39999999997","170017.59999999998","59634.8","-14603.900000000009","0"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","34184.27882206","546.4","46.50212765957447","3480.6400000000003","2326.9","1132.53","826.71","7073.450000000001","2761.8900000000012","4311.5599999999995","735.349999999999","4"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","32983.140718124996","211.65","4.8211845102505695","43472.78","57129.46000000001","5302.26","8554.03","107266.04","76865.37999999999","30400.66","6690.630000000023","15.9"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","32788.237520990006","142.6","5.770942938081748","53993.5","33738.93","13641.869999999999","11979.52","151828.75","94317.54000000001","57511.21","5495.67000000001","1.2"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","32715.71508128","9933.8","76.93518938677731","1069.08","657.3499999999999","540.45","411.83","1631.9099999999999","722.8499999999999","909.0600000000001","419.1300000000003","88"
Punjab National Bank,PNB,"Public Banks","30678.6515669","31.8","-1.529853841705058","77295.97","681874.18","77295.97","-34157.98","789509.02","743990.89","45518.13","-9570.110000000004","0"
NMDC Ltd,NMDC,"Mining - Iron Ore","27924.06889008","91.7","6.0809018567639255","7977.290000000001","3064.82","4619.39","4096.64","29891.23","3833.34","26057.89","4618.839999999999","5.52"
United Breweries Ltd,UBL,"Alcoholic Beverages","26932.308477140003","1010.2","47.44950681070926","3001.37","2099.55","46.17","642.79","5384.41","2197.6000000000004","3186.81","562.9399999999998","2.5"
General Insurance Corporation of India,GICRE,"Insurance","26596.703999999998","156.8","9.974554707379134","45313.507","66292.34","18568.707","7604.19","122208.6764","96716.29639999999","25492.38","2757.559999999995","6.75"
